,PAA,MDD,MDR,PAA_smooth,MDD_smooth,MDR_smooth,PAA_emanuel,MDR_emanuel,MDD_emanuel
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.1653864482642455,-0.00138220587133542,-0.00031583511421779645,0.0648091859469716,2.229652662020038e-06,0.002091575971614537
21,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.1739732637526214,0.0001340162323712058,3.910520920330403e-05,0.07426606533153296,8.920037732016355e-06,0.00247636589858882
22,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.18257453605509735,0.0016841725399078466,0.0003984713047368502,0.08444943077208918,2.2930513242837918e-05,0.0028950918892380415
23,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.19110499921953297,0.0032513082859767133,0.0007584603062789051,0.09534796326319425,4.694236379289876e-05,0.0033460091265692573
24,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.19930945759225072,0.004782766630423713,0.0011074101526479324,0.10694451481901346,8.359716313622438e-05,0.003826884044550125
25,0.24390243902439024,0.011632076954554734,0.002881501327806641,0.20676473699440773,0.006185150367494582,0.0014250834566967448,0.11921630074669219,0.00013547352239521784,0.0043350531401571855
26,0.24390243902439024,0.011632076954554734,0.002881501327806641,0.2130535554557803,0.007348664011366346,0.0016888914625254826,0.13213518380941924,0.0002050590378623292,0.004867494084710096
27,0.2318840579710145,0.007853880730952927,0.0017573575773904098,0.2181923580896881,0.008216150841398585,0.0018905475892593137,0.14566804464663624,0.0002947180915409662,0.005420905704702174
28,0.2318840579710145,0.007853880730952927,0.0017573575773904098,0.22268777494761827,0.008797660681514094,0.002038156796115032,0.15977723005903854,0.00040665639050912924,0.0059917929978348505
29,0.17391304347826086,0.007853880730952927,0.0013261528702512146,0.22728459003816334,0.009142183550147644,0.002146378848814844,0.17442106835151408,0.0005428833709106929,0.0065765532549144235
30,0.1839080459770115,0.010186419433114264,0.001757030900469469,0.23257679334714604,0.009313006011299217,0.002227923486118844,0.18955443897486407,0.0007051738189600442,0.007171559560599616
31,0.2682926829268293,0.010591301002222634,0.0027856738355440756,0.2385266700275101,0.00937250532514643,0.0022878535785479364,0.20512938230448266,0.0008950302521691509,0.007773238401785389
32,0.2682926829268293,0.010591301002222634,0.0027856738355440756,0.2445176050548102,0.009379826626848924,0.002326090546892388,0.22109573459350385,0.0011136477355814499,0.008378138754828872
33,0.24870466321243523,0.01062181117193812,0.0026146000595819938,0.24989357535640352,0.009379825971134619,0.002344628706576885,0.23740177295396425,0.0013618828581906728,0.008982990773391916
34,0.24870466321243523,0.01062181117193812,0.0026146000595819938,0.25420098181164824,0.009379825420115204,0.0023497714094556275,0.25399485563009616,0.0016402285463651626,0.009584752978706984
35,0.271356783919598,0.009289494707521523,0.0025554632690361866,0.25719273047383845,0.009379824818126834,0.002349771352703846,0.2708220437775586,0.0019487962335926717,0.010180647594277588
36,0.26519337016574585,0.007824803910954184,0.002123285859292389,0.25884420291357807,0.009379824225151939,0.0023497711741792657,0.2878306923688324,0.0022873066383302964,0.010768184314053655
37,0.26519337016574585,0.007824803910954184,0.002123285859292389,0.25942418974814696,0.009379823388466307,0.002349770939428673,0.30496899960653034,0.002655090034242548,0.011345173312636823
38,0.27450980392156865,0.008701866381147415,0.0024942002919083237,0.2594241836344835,0.009379823167717948,0.0023527159894051906,0.3221865062308263,0.003051096450705116,0.011909728682617526
39,0.25116279069767444,0.00966865800639267,0.0025109244377747282,0.2594241805896454,0.009419748236818333,0.0023804722426384287,0.33943453824035885,0.003473915746782828,0.012460263718621458
40,0.28125,0.00966865800639267,0.002803252282564433,0.2605121558523919,0.009573326253335363,0.0024685912888922695,0.3566665886992161,0.003921806996261089,0.012995479573328375
41,0.28735632183908044,0.009945480767729598,0.0029310077356984082,0.26424580100673334,0.009926671759985814,0.002659660639797623,0.3738386363792751,0.004392736144652645,0.013514348808839203
42,0.2268041237113402,0.009007372235908305,0.0021965496374469523,0.27239239120076153,0.010554380988432031,0.0029953494575338233,0.3909094009069842,0.004884420489391108,0.014016095282281182
43,0.2268041237113402,0.009007372235908305,0.0021965496374469523,0.28646127392400433,0.011494673345548042,0.003505107673573307,0.407840535785415,0.005394378223255086,0.014500171662750536
44,0.2647058823529412,0.00849761836352858,0.0023889571451980894,0.30700525257645633,0.012724344809608224,0.004192151636467283,0.4245967621047722,0.005919981090092753,0.014966235700748539
45,0.4032258064516129,0.015892446859914314,0.006561175351565815,0.33337785271250375,0.014149191414001226,0.0050274377578322675,0.44114594691540315,0.0064585081406870705,0.015414126180677631
46,0.3728813559322034,0.01841846927312165,0.00685060812760599,0.3640871597869764,0.015619305742040276,0.005956721738697882,0.4574591311118776,0.007007198642097066,0.015843839296941796
47,0.3973509933774834,0.01884532895346061,0.007280729754807322,0.3975726506034338,0.016986640686234313,0.006925649740767354,0.4735105122746212,0.007563302371639271,0.016255506015640672
48,0.3973509933774834,0.01884532895346061,0.007280729754807322,0.4322835452250598,0.018145140653099984,0.007889512181740674,0.48927738825796946,0.008124125793618703,0.016649370823757403
49,0.44086021505376344,0.018872337243654013,0.008198768276583872,0.46666921692410485,0.019042881132662864,0.008814058666748684,0.5047400674295048,0.008687072944334573,0.017025772129860305
50,0.5645161290322581,0.019936561943991543,0.011165017003785988,0.499171818703589,0.019675621385286418,0.009672762119646752,0.5198817513892077,0.00924968020834167,0.017385124465882237
51,0.5645161290322581,0.019936561943991543,0.011165017003785988,0.5285682353374818,0.020073355245497387,0.010450170738577777,0.534688395764504,0.009809644527584921,0.017727902547905443
52,0.5645161290322581,0.019936561943991543,0.011165017003785988,0.5545701254295846,0.020288567364701308,0.011151412855436823,0.5491485543247292,0.01036484492019478,0.018054627183264477
53,0.5645161290322581,0.019936561943991543,0.011165017003785988,0.577770520369126,0.020381880048310964,0.0117967792464944,0.5632532112199142,0.010913357478701575,0.018365852959200825
54,0.5645161290322581,0.019936561943991543,0.011165017003785988,0.5992309443494096,0.020409068025889855,0.012409156980367682,0.5769956056549167,0.011453464256092708,0.018662157611979698
55,0.6183574879227053,0.02114571577762118,0.013127753682167093,0.6199690743504361,0.020411593275353208,0.013001327224508228,0.5903710527875565,0.011983656626861745,0.01894413295201471
56,0.6357615894039735,0.021321938810840924,0.013477463698918472,0.6405789440348952,0.020411593028212213,0.013569580674116753,0.6033767641109141,0.012502633828997517,0.01921237720750703
57,0.6446700507614214,0.02201513742715395,0.013937151238388427,0.6611982957973286,0.02041159283563725,0.0140997743808237,0.616011670063215,0.013009297456171132,0.01946748864403344
58,0.676829268292683,0.022282478511659324,0.015052619672517092,0.681492048677571,0.020411592507967473,0.014572124316793233,0.6282762471174158,0.01350274268467518,0.019710060318376268
59,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7006839398204998,0.020411591993206715,0.014966919108579214,0.640172351146474,0.01398224699611902,0.019940675829977855
60,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7177534483861443,0.020411591291362927,0.015271860002405487,0.6517030584457294,0.014447257104184917,0.020159905941342374
61,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7316793472636436,0.020411590607060097,0.015484595875888924,0.6628725154243491,0.014897374721223888,0.02036830594840932
62,0.676829268292683,0.022282478511659324,0.015052619672517092,0.741921801500481,0.02041158994030634,0.015614401244123095,0.6736857976545695,0.015332341716443848,0.020566413692548868
63,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7485496537109597,0.02041158929109955,0.01567965449823759,0.6841487786899008,0.015752025128882737,0.020754748116755626
64,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7521521554526921,0.02041158865943966,0.015703243735286903,0.6942680088295149,0.01615640241073704,0.020933808279396122
65,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7536375691091188,0.02041158804532661,0.015707198233151212,0.7040506038128164,0.01654554719393021,0.021104072749187252
66,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539849188045165,0.020411587448760333,0.01570719810321681,0.7135041432721162,0.016919615797721606,0.021265999314749033
67,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539849153689105,0.020411586869740775,0.015707198012980057,0.7226365786485398,0.017278834629207943,0.021420024950968956
68,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539849094951232,0.020411586308267872,0.015707197963824877,0.7314561501827949,0.017623488572385097,0.02156656599248353
69,0.676829268292683,0.022282478511659324,0.015052619672517092,0.753984907169575,0.020411585764341572,0.01570719791620702,0.7399713125242844,0.01795391041496311,0.02170601847181554
70,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539849049192071,0.02041158523796182,0.015707197870124884,0.7481906684555191,0.01827047132483077,0.02183875858612537
71,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539849027438198,0.020411584729128563,0.01570719782557886,0.756122910200359,0.018573572359109697,0.021965143262183618
72,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539849006434477,0.02041158423784175,0.015707197782568946,0.7637767677711222,0.018863636967116387,0.02208551079410505
73,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848986180906,0.02041158376410133,0.015707197741095136,0.7711609638081734,0.019141104433199583,0.022200181532662653
74,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848966677482,0.020411583307907263,0.015707197701157426,0.7782841743737482,0.01940642419528742,0.022309458608688687
75,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848947924204,0.020411582869259495,0.015707197662755815,0.7851549951772873,0.01966005096908022,0.022413628676231
76,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848929921071,0.020411582448157987,0.015707197625890297,0.7917819127305937,0.01990244060527006,0.022512962663827723
77,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848912668083,0.020411582044602694,0.015707197590560874,0.7981732799561039,0.020134046607180277,0.02260771652454972
78,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848896165238,0.020411581658593577,0.015707197556767537,0.8043372957991906,0.020355317238133202,0.02269813197738883
79,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848880412533,0.02041158129013059,0.01570719752451029,0.8102819884245842,0.02056669315112137,0.02278443723418991
80,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848865409967,0.0204115809392137,0.01570719749378912,0.8160152016068931,0.020768605477527277,0.022866847707677895
81,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848851157539,0.020411580605842864,0.01570719746460403,0.8215445839550921,0.020961474316352775,0.022945566697255136
82,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848837655247,0.020411580290018057,0.01570719743695502,0.826877580640232,0.02114570757040394,0.02302078605017348
83,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848824903091,0.020411579991739245,0.01570719741084208,0.8320214273240845,0.021321700080921067,0.02309268679644802
84,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848812901069,0.0204115797110064,0.015707197386265213,0.8369831460136906,0.021489833017092185,0.02316143975650133
85,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848801649179,0.020411579447819496,0.01570719736322441,0.8417695425926196,0.02165047348163364,0.02322720612103011
86,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848791147421,0.02041157920217851,0.015707197341719676,0.84638720580404,0.02180397429809049,0.023290138002989173
87,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848781395793,0.02041157897408341,0.015707197321751003,0.8508425074833911,0.021950673949658255,0.0233503789619072
88,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848772394294,0.020411578763534183,0.0157071973033184,0.8551416038594747,0.02209089664313368,0.023408064500998572
89,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848764142929,0.02041157857053079,0.01570719728642185,0.8592904377622058,0.022224952475058818,0.023463322537727215
90,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848756641689,0.020411578395073217,0.015707197271061357,0.8632947415930732,0.022353137680235474,0.023516273848622538
91,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848749890576,0.020411578237161446,0.015707197257236915,0.867160040930644,0.022475734945568693,0.023567032489252057
92,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848743889587,0.02041157809679547,0.01570719724494853,0.8708916586582681,0.022593013774668123,0.023615706190327677
93,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848738638723,0.020411577973975272,0.015707197234196193,0.8744947195145727,0.022705230890815813,0.023662396730968895
94,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848734137984,0.020411577868700844,0.01570719722497991,0.8779741549794826,0.02281263066782278,0.023707200290171218
95,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848730387368,0.020411577780972173,0.015707197217299674,0.8813347084194364,0.022915445579968635,0.023750207777536392
96,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848727386878,0.02041157771078925,0.015707197211155488,0.8845809404252934,0.02301389666367188,0.02379150514431581
97,0.676829268292683,0.022282478511659324,0.015052619672517092,0.753984872513651,0.020411577658152064,0.01570719720654735,0.8877172342852179,0.023108193984796965,0.023831173675802918
98,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848723636265,0.020411577623060617,0.015707197203475267,0.8907478015426822,0.02319853710658943,0.023869290266086758
99,0.676829268292683,0.022282478511659324,0.015052619672517092,0.7539848722886143,0.02041157760551489,0.015707197201939225,0.893676687596726,0.023285115554161243,0.023905927676149224
